FICE,Institution,Discipline,Total SCH,Percentage of SCH
42485,TAMUSA,Pharmacy,0,0
42485,TAMUSA,Business Administration,30287,0.215987049
42485,TAMUSA,Optometry,0,0
42485,TAMUSA,Teacher Ed-Practice Teaching,938,0.006689202
42485,TAMUSA,Technology,2623,0.018705518
42485,TAMUSA,Nursing,0,0
9651,TAMIU,Liberal Arts,102272,0.508274772
9651,TAMIU,Science,30529,0.151724035
9651,TAMIU,Fine Arts,7587,0.037706124
9651,TAMIU,Teacher Education,12379,0.061521564
9651,TAMIU,Agriculture,0,0
9651,TAMIU,Engineering,4001,0.019884302
9651,TAMIU,Home Economics,789,0.003921198
9651,TAMIU,Law,0,0
9651,TAMIU,Social Service,183,0.000909479
9651,TAMIU,Library Science,0,0
9651,TAMIU,Veterinary Science,0,0
9651,TAMIU,Vocational Training,0,0
9651,TAMIU,Physical Training,0,0
9651,TAMIU,Health Services,5265,0.026166171
9651,TAMIU,Pharmacy,0,0
9651,TAMIU,Business Administration,26110,0.129762343
9651,TAMIU,Optometry,0,0
9651,TAMIU,Teacher Ed-Practice Teaching,498,0.002474977
9651,TAMIU,Technology,294,0.001461131
9651,TAMIU,Nursing,11307,0.056193903
3665,WTAMU,Liberal Arts,72277,0.326165635
3665,WTAMU,Science,30830,0.13912706
3665,WTAMU,Fine Arts,13296,0.060001083
3665,WTAMU,Teacher Education,15068,0.067997617
3665,WTAMU,Agriculture,15074,0.068024694
3665,WTAMU,Engineering,8281,0.037369808
3665,WTAMU,Home Economics,0,0
3665,WTAMU,Law,0,0
3665,WTAMU,Social Service,2863,0.012919908
3665,WTAMU,Library Science,0,0
3665,WTAMU,Veterinary Science,0,0
3665,WTAMU,Vocational Training,48,0.00021661
3665,WTAMU,Physical Training,0,0
3665,WTAMU,Health Services,5226,0.023583458
3665,WTAMU,Pharmacy,0,0
3665,WTAMU,Business Administration,43861,0.197932273
3665,WTAMU,Optometry,0,0
3665,WTAMU,Teacher Ed-Practice Teaching,876,0.00395314
3665,WTAMU,Technology,4460,0.020126717
3665,WTAMU,Nursing,9436,0.042581996
3565,TAMUC,Liberal Arts,80496,0.308938159
3565,TAMUC,Science,36984,0.14194207
3565,TAMUC,Fine Arts,14507,0.055676877
3565,TAMUC,Teacher Education,33019,0.126724671
3565,TAMUC,Agriculture,9356,0.03590769
3565,TAMUC,Engineering,14739,0.056567277
3565,TAMUC,Home Economics,627,0.002406383
3565,TAMUC,Law,0,0
3565,TAMUC,Social Service,6321,0.024259567
3565,TAMUC,Library Science,1077,0.004133453
3565,TAMUC,Veterinary Science,0,0
3565,TAMUC,Vocational Training,654,0.002510007
3565,TAMUC,Physical Training,0,0
3565,TAMUC,Health Services,10109,0.038797653
3565,TAMUC,Pharmacy,0,0
3565,TAMUC,Business Administration,44754,0.1717628
3565,TAMUC,Optometry,0,0
3565,TAMUC,Teacher Ed-Practice Teaching,1596,0.006125339
3565,TAMUC,Technology,3379,0.012968372
3565,TAMUC,Nursing,2939,0.011279682
29269,TAMUT,Liberal Arts,21478,0.450991097
29269,TAMUT,Science,5321,0.11172938
29269,TAMUT,Fine Arts,666,0.013984546
29269,TAMUT,Teacher Education,4810,0.100999496
29269,TAMUT,Agriculture,0,0
29269,TAMUT,Engineering,2488,0.052242567
29269,TAMUT,Home Economics,312,0.006551319
29269,TAMUT,Law,0,0
29269,TAMUT,Social Service,716,0.015034436
29269,TAMUT,Library Science,0,0
29269,TAMUT,Veterinary Science,0,0
29269,TAMUT,Vocational Training,0,0
29269,TAMUT,Physical Training,0,0
29269,TAMUT,Health Services,1131,0.02374853
29269,TAMUT,Pharmacy,0,0
29269,TAMUT,Business Administration,8913,0.187153536
29269,TAMUT,Optometry,0,0
29269,TAMUT,Teacher Ed-Practice Teaching,111,0.002330758
29269,TAMUT,Technology,288,0.006047371
29269,TAMUT,Nursing,1390,0.029186965
3652,UH,Liberal Arts,371074,0.320524692
3652,UH,Science,157916,0.136403998
3652,UH,Fine Arts,46471,0.040140519
3652,UH,Teacher Education,34576,0.029865907
3652,UH,Agriculture,0,0
3652,UH,Engineering,118466,0.102328048
3652,UH,Home Economics,27547,0.023794428
3652,UH,Law,20708,0.017887067
3652,UH,Social Service,12751,0.011014004
3652,UH,Library Science,0,0
3652,UH,Veterinary Science,0,0
3652,UH,Vocational Training,1032,0.000891416
3652,UH,Physical Training,0,0
3652,UH,Health Services,51403,0.044400661
3652,UH,Pharmacy,19586,0.01691791
3652,UH,Business Administration,228926,0.197740708
3652,UH,Optometry,15888,0.013723668
3652,UH,Teacher Ed-Practice Teaching,4339,0.003747923
3652,UH,Technology,42214,0.036463426
